urn:cts:greekLit:tlg0012.tlg001.msA:Passage	Seq	Sign
urn:cts:greekLit:tlg0012.tlg001.msA:10.208	1244	※
urn:cts:greekLit:tlg0012.tlg001.msA:10.209	1245	※
urn:cts:greekLit:tlg0012.tlg001.msA:10.210	1246	※
urn:cts:greekLit:tlg0012.tlg001.msA:10.216	1247	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.224	1248	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.225	1249	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.226	1250	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.231	1251	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.240	1252	—>
urn:cts:greekLit:tlg0012.tlg001.msA:10.242	1253	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.252	1254	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.253	1255	—
urn:cts:greekLit:tlg0012.tlg001.msA:10.258	1256	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.262	1257	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.265	1258	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.266	1259	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.268	1260	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.277	1261	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.281	1262	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.282	1263	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.286	1264	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.298	1265	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.299	1266	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.317	1267	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:10.322	1268	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.326	1269	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.330	1270	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.332	1271	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.335	1272	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.338	1273	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.343	1274	※
urn:cts:greekLit:tlg0012.tlg001.msA:10.347	1275	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.351	1276	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.353	1277	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.354	1278	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.356	1279	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.361	1280	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.372	1281	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.375	1282	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.378	1283	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.381	1284	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.383	1285	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.387	1286	※—
urn:cts:greekLit:tlg0012.tlg001.msA:10.397	1287	—
urn:cts:greekLit:tlg0012.tlg001.msA:10.398	1288	>—
urn:cts:greekLit:tlg0012.tlg001.msA:10.399	1289	—
urn:cts:greekLit:tlg0012.tlg001.msA:10.408	1290	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.409	1291	※—
urn:cts:greekLit:tlg0012.tlg001.msA:10.410	1292	※—
urn:cts:greekLit:tlg0012.tlg001.msA:10.411	1293	※—
urn:cts:greekLit:tlg0012.tlg001.msA:10.428	1294	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.430	1295	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.445	1296	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.447	1297	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.458	1298	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.461	1299	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.466	1300	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.469	1301	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.470	1302	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.473	1303	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.475	1304	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.476	1305	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.478	1306	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.480	1307	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.485	1308	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.486	1309	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.488	1310	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.490	1311	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.495	1312	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.497	1313	—
urn:cts:greekLit:tlg0012.tlg001.msA:10.505	1314	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.515	1315	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.520	1316	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.528	1317	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.545	1318	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:10.546	1319	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:10.559	1320	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.561	1321	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.570	1322	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.571	1323	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.573	1324	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.574	1325	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.578	1326	>
urn:cts:greekLit:tlg0012.tlg001.msA:10.579	1327	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.4	1328	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.11	1329	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.13	1330	※—
urn:cts:greekLit:tlg0012.tlg001.msA:11.14	1331	※—
urn:cts:greekLit:tlg0012.tlg001.msA:11.17	1332	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.21	1333	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.22	1334	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.27	1335	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.30	1336	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.32	1337	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.41	1338	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.43	1339	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.44	1340	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.45	1341	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.46	1342	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.49	1343	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.51	1344	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.52	1345	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.54	1346	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.55	1347	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.56	1348	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.62	1349	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.65	1350	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.68	1351	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.71	1352	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.72	1353	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.75	1354	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.78	1355	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.79	1356	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.80	1357	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.81	1358	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.82	1359	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.83	1360	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.86	1361	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.93	1362	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.94	1363	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.96	1364	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.97	1365	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.100	1366	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.101	1367	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.104	1368	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:11.106	1369	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.109	1370	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.111	1371	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.116	1372	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.121	1373	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.124	1374	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.128	1375	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.130	1376	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.140	1377	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.142	1378	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:11.144	1379	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.147	1380	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.155	1381	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.163	1382	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.166	1383	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.173	1384	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.178	1385	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.179	1386	※—
urn:cts:greekLit:tlg0012.tlg001.msA:11.180	1387	※—
urn:cts:greekLit:tlg0012.tlg001.msA:11.183	1388	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.191	1389	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.192	1390	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.196	1391	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.217	1392	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.221	1393	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.226	1394	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.234	1395	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.244	1396	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.252	1397	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.262	1398	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.266	1399	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.270	1400	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.281	1401	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.297	1402	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.302	1403	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.306	1404	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.307	1405	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.314	1406	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.319	1407	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.326	1408	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.328	1409	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.333	1410	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.350	1411	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.354	1412	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.355	1413	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.356	1414	※—
urn:cts:greekLit:tlg0012.tlg001.msA:11.364	1415	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.368	1416	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:11.376	1417	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.385	1418	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.387	1419	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.390	1420	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.402	1421	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.404	1422	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.405	1423	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.409	1424	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.413	1425	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:11.422	1426	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.424	1427	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.430	1428	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.432	1429	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.456	1430	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.458	1431	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:11.462	1432	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.480	1433	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:11.492	1434	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.494	1435	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.502	1436	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.506	1437	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.515	1438	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.523	1439	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.528	1440	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:11.544	1441	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.545	1442	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.548	1443	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:11.557	1444	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.559	1445	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.562	1446	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.568	1447	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.572	1448	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.574	1449	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.583	1450	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.589	1451	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.600	1452	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.601	1453	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.604	1454	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.606	1455	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.612	1456	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.620	1457	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.621	1458	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.622	1459	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.630	1460	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.632	1461	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.635	1462	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.636	1463	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.650	1464	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.659	1465	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.667	1466	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.683	1467	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.688	1468	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.689	1469	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.692	1470	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.694	1471	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.697	1472	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.699	1473	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.705	1474	※—
urn:cts:greekLit:tlg0012.tlg001.msA:11.709	1475	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.711	1476	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.730	1477	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:11.734	1478	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.735	1479	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.737	1480	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.747	1481	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.750	1482	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.751	1483	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.752	1484	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.754	1485	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.759	1486	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.767	1487	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.768	1488	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.769	1489	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.770	1490	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.771	1491	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.772	1492	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.773	1493	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.774	1494	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.775	1495	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.776	1496	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.777	1497	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.778	1498	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.779	1499	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.780	1500	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.781	1501	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.782	1502	
urn:cts:greekLit:tlg0012.tlg001.msA:11.783	1503	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.784	1504	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.785	1505	—
urn:cts:greekLit:tlg0012.tlg001.msA:11.786	1506	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.794	1507	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:11.795	1508	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:11.802	1509	—※
urn:cts:greekLit:tlg0012.tlg001.msA:11.803	1510	—※
urn:cts:greekLit:tlg0012.tlg001.msA:11.807	1511	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.817	1512	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.824	1513	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.832	1514	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.834	1515	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.841	1516	>
urn:cts:greekLit:tlg0012.tlg001.msA:11.844	1517	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.17	1518	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.22	1519	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.34	1520	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:12.36	1521	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.46	1522	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.56	1523	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.66	1524	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.77	1525	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.93	1526	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.96	1527	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.97	1528	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.105	1529	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.107	1530	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.115	1531	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.118	1532	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.120	1533	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.121	1534	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.137	1535	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.139	1536	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.140	1537	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.144	1538	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.155	1539	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.159	1540	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.175	1541	—
urn:cts:greekLit:tlg0012.tlg001.msA:12.176	1542	—
urn:cts:greekLit:tlg0012.tlg001.msA:12.177	1543	—
urn:cts:greekLit:tlg0012.tlg001.msA:12.178	1544	—
urn:cts:greekLit:tlg0012.tlg001.msA:12.179	1545	—
urn:cts:greekLit:tlg0012.tlg001.msA:12.180	1546	—
urn:cts:greekLit:tlg0012.tlg001.msA:12.193	1547	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.201	1548	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.207	1549	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.210	1550	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.211	1551	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.213	1552	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.216	1553	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.228	1554	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.230	1555	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:12.239	1556	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.253	1557	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.254	1558	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.258	1559	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.261	1560	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.280	1561	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.285	1562	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.291	1563	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.301	1564	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.303	1565	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.328	1566	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.329	1567	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.335	1568	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.336	1569	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.346	1570	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:12.348	1571	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:12.349	1572	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.350	1573	—
urn:cts:greekLit:tlg0012.tlg001.msA:12.359	1574	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:12.363	1575	—
urn:cts:greekLit:tlg0012.tlg001.msA:12.365	1576	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:12.366	1577	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:12.368	1578	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:12.371	1579	—
urn:cts:greekLit:tlg0012.tlg001.msA:12.375	1580	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.394	1581	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.400	1582	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.401	1583	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.416	1584	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.426	1585	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.431	1586	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.442	1587	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:12.444	1588	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.450	1589	—
urn:cts:greekLit:tlg0012.tlg001.msA:12.455	1590	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.456	1591	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.458	1592	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.463	1593	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.468	1594	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.469	1595	>
urn:cts:greekLit:tlg0012.tlg001.msA:12.470	1596	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.1	1597	※>
urn:cts:greekLit:tlg0012.tlg001.msA:13.10	1598	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:13.11	1599	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.12	1600	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.16	1601	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.21	1602	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.25	1603	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.28	1604	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.29	1605	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.41	1606	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.45	1607	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.49	1608	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.60	1609	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.61	1610	※
urn:cts:greekLit:tlg0012.tlg001.msA:13.64	1611	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.66	1612	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.68	1613	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:13.82	1614	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.85	1615	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.103	1616	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.110	1617	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.115	1618	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.127	1619	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.147	1620	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.148	1621	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:13.159	1622	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.165	1623	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.166	1624	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.172	1625	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:13.197	1626	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.203	1627	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.213	1628	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.217	1629	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.222	1630	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.223	1631	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.226	1632	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.236	1633	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.252	1634	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.257	1635	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.275	1636	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.276	1637	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.287	1638	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.288	1639	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.292	1640	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.295	1641	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.299	1642	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.306	1643	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.315	1644	⸖
urn:cts:greekLit:tlg0012.tlg001.msA:13.317	1645	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.326	1646	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.327	1647	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.343	1648	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.344	1649	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.346	1650	>
urn:cts:greekLit:tlg0012.tlg001.msA:13.350	1651	—
